,topic,gujlish,english
4744,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
4745,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4746,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4747,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4748,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4749,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4750,Asking for directions to a nearby landmark,Bus stop ketli door che?,How far is the bus stop?
4751,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4752,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4753,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
4754,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4755,Discussing weekend plans,Shopping karva javanu che weekend ma.,Going shopping this weekend.
4756,Debating street food vs. restaurant food,Street food sasti ane tasty hoy.,Street food is cheap and tasty.
4757,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4758,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4759,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4760,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4761,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4762,Ordering food at a restaurant,Dessert ma su che?,What do you have in dessert?
4763,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4764,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4765,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4766,Asking for directions to a nearby landmark,Bus stop ketli door che?,How far is the bus stop?
4767,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4768,Ordering food at a restaurant,Paneer tikka ane butter naan mokli do.,Send paneer tikka and butter naan.
4769,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4770,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4771,Discussing a new Bollywood movie,Story thodi weak hati.,The story was a bit weak.
4772,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4773,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4774,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4775,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4776,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4777,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
4778,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4779,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4780,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4781,Sharing fitness and gym experiences,Daily 1 hour gym karu chu.,I gym for 1 hour daily.
4782,Comparing old songs to new remixes,Navu version jamtu nathi.,Donâ€™t like the new version.
4783,Complaining about the Delhi traffic,Subah 9 baje toh road full tight hoy.,At 9am the roads are packed.
4784,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4785,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4786,Talking about changes in weather,Garmi toh jevi j che!,The heat is the same!
4787,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4788,Talking about Diwali preparations,Safai toh sharu thai gayi che.,Cleaning has already started.
4789,Planning a trip to Goa,Beach resort book kariye?,Shall we book a beach resort?
4790,Ordering food at a restaurant,Dessert ma su che?,What do you have in dessert?
4791,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4792,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4793,Complaining about the Delhi traffic,Traffic jam ma fast food pan khayi lidhu.,Had fast food in the traffic jam.
4794,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4795,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4796,Complaining about the Delhi traffic,Office pochva 2 kalak laagi gaya!,Took 2 hours to reach office!
4797,Comparing old songs to new remixes,Old songs timeless che.,Old songs are timeless.
4798,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4799,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4800,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4801,Discussing a friend's recent wedding,Decor ekdam royal hato.,The decoration was royal.
4802,Sharing fitness and gym experiences,Diet pan follow karvanu che.,Need to follow a diet too.
4803,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4804,Discussing a friend's recent wedding,Shaadi ma khub maja avi.,The wedding was a lot of fun.
4805,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4806,Ordering food at a restaurant,Dessert ma su che?,What do you have in dessert?
4807,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4808,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4809,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4810,Talking about changes in weather,Garmi toh jevi j che!,The heat is the same!
4811,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4812,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4813,Discussing a new Bollywood movie,Songs catchy hata!,The songs were catchy!
4814,Discussing a friend's recent wedding,Food bahu tasty hatu!,The food was very tasty!
4815,Planning a trip to Goa,Flight ticket sasta male che ajkal.,Flight tickets are cheap these days.
4816,Talking about changes in weather,Varsad ghano pade che aaje.,Itâ€™s raining a lot today.
4817,Talking about changes in weather,Thand vadhi gayi che.,The cold has increased.
4818,Talking about a recent cricket match,Kohli ni batting mast hati.,Kohli's batting was amazing.
4819,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4820,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4821,Discussing a friend's recent wedding,Decor ekdam royal hato.,The decoration was royal.
4822,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4823,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4824,Comparing old songs to new remixes,Remix ma soul nathi hoti.,Remixes lack soul.
4825,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4826,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4827,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4828,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4829,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
4830,Debating street food vs. restaurant food,Street food ma taste vadhu hoy.,Street food tastes better.
4831,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4832,Planning a trip to Goa,December ma Goa ni maja alag j hoy!,Goa in December hits different!
4833,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4834,Complaining about the Delhi traffic,Rickshaw pan nathi madti traffic ma.,Can't even get a rickshaw in traffic.
4835,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4836,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4837,Talking about a recent cricket match,Match last over sudhi tight hato.,The match was tight till the last over.
4838,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4839,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4840,Asking for directions to a nearby landmark,Railway station kya che?,Where is the railway station?
4841,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4842,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4843,Sharing fitness and gym experiences,Gym mate motivation joie j hoy.,You really need motivation for the gym.
4844,Discussing a new Bollywood movie,Movie ma acting toh superb hati.,The acting in the movie was superb.
4845,Discussing weekend plans,Hu toh Sunday rest karis.,I will just rest on Sunday.
4846,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4847,Talking about Diwali preparations,Pataka lidha ke nahi?,Bought crackers or not?
4848,Talking about a recent cricket match,Dhoni ni innings jova jevi hati!,Dhoni's innings was worth watching!
4849,Debating street food vs. restaurant food,Restaurant food clean hoy.,Restaurant food is clean.
4850,Discussing a new Bollywood movie,Climax unexpected hato.,The climax was unexpected.
4851,Comparing old songs to new remixes,Original song ni feel biji j che.,Original songs have a different feel.
4852,Discussing weekend plans,Weekend ma movie jova jaiye?,Shall we go for a movie this weekend?
4853,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4854,Talking about Diwali preparations,Faral banavvano plan che.,Planning to make sweets and snacks.
4855,Debating street food vs. restaurant food,Restaurant ma ambience matter kare che.,Ambience matters in restaurants.
4856,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4857,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
4858,Asking for directions to a nearby landmark,Bus stop ketli door che?,How far is the bus stop?
4859,Talking about changes in weather,"Weather mast che, coffee ni talav thai.","The weather is great, craving coffee."
4860,Sharing fitness and gym experiences,Workout pachi energy feel thay che.,Feel energetic after a workout.
4861,Talking about Diwali preparations,Light lagadvani che aaje.,Have to put up lights today.
4862,Discussing weekend plans,Kahi outdoor plan che?,Any outdoor plans?
4863,Asking for directions to a nearby landmark,Hospital java rasto kai taraf che?,Which way is the hospital?
4864,Complaining about the Delhi traffic,Office pochva 2 kalak laagi gaya!,Took 2 hours to reach office!
4865,Ordering food at a restaurant,Thodu spicy banavjo please.,Please make it a bit spicy.
